pickup_location,destination_location,num_stops,distance_km,duration_min,actual_eta_min,weather,time_of_day,traffic_level
Port Elizabethfort,Jasonfurt,1,317.26,426.47,417.46,Foggy,Afternoon,Moderate
Lake Karaborough,Careyville,3,184.08,195.68,191.29,Cloudy,Afternoon,Heavy
East Nataliefort,Williamstad,0,169.67,207.56,196.74,Rainy,Night,Moderate
East Bryan,Bellborough,1,302.76,380.19,381.95,Rainy,Afternoon,Light
North Timothyhaven,Peterberg,3,415.31,556.12,566.88,Foggy,Morning,Heavy
Port James,New Andrea,3,93.92,101.77,102.76,Foggy,Night,Light
South Kennethburgh,Hunterhaven,0,126.98,181.82,199.14,Clear,Evening,Moderate
Crawfordland,North Natashaburgh,2,176.54,212.21,204.28,Cloudy,Afternoon,Light
Stewartton,South Stacey,1,229.83,265.29,252.79,Cloudy,Morning,Heavy
Amberhaven,Mitchellchester,0,344.5,385.28,372.05,Foggy,Afternoon,Moderate
West Joseph,Port Sarahshire,3,230.31,258.73,269.52,Clear,Morning,Moderate
Gonzalezhaven,Boydside,3,387.29,459.47,477.81,Rainy,Morning,Heavy
Cranefurt,Navarrobury,3,330.54,488.86,528.94,Foggy,Evening,Light
Garciahaven,Lake William,3,136.05,200.14,200.52,Rainy,Afternoon,Light
Nicholsbury,Keithville,0,77.31,101.82,102.1,Rainy,Evening,Moderate
New Timothyton,Earlport,1,346.0,492.62,473.3,Foggy,Night,Heavy
Lake Gwendolyn,Port Michael,0,108.33,110.28,113.03,Cloudy,Morning,Light
Brownport,Lake Georgefurt,3,123.8,163.0,147.19,Cloudy,Evening,Heavy
West Aaron,Martinezburgh,3,496.3,524.79,522.66,Cloudy,Night,Light
South Jill,Brandontown,3,396.69,495.27,475.96,Cloudy,Morning,Heavy
Lake Jefferyland,Lake Brandontown,3,191.81,224.93,247.02,Foggy,Morning,Heavy
Jacobmouth,Perezborough,3,161.3,237.34,236.56,Foggy,Night,Heavy
East Erik,Kristyside,2,47.21,64.9,61.38,Foggy,Afternoon,Moderate
Sparkschester,New Heather,3,251.68,285.07,282.85,Clear,Morning,Moderate
East Reginaldfurt,Adamshaven,0,193.49,281.58,307.12,Rainy,Afternoon,Heavy
New Amyburgh,Jillville,3,409.45,480.55,496.77,Rainy,Morning,Moderate
West Katherinefort,Brianport,0,375.7,508.5,524.05,Rainy,Afternoon,Heavy
South Jeremyburgh,Kylechester,0,60.19,83.21,78.76,Cloudy,Afternoon,Moderate
Olsenstad,South Melissa,2,443.56,606.59,611.13,Foggy,Afternoon,Moderate
North Maryfort,Shellyland,2,453.22,656.17,595.26,Foggy,Night,Heavy
West Jessica,East Rachelchester,0,201.1,268.75,247.84,Clear,Night,Heavy
North Joshua,South Eric,0,416.44,526.92,501.18,Clear,Afternoon,Heavy
South Amy,South Kevin,2,316.11,316.67,306.25,Clear,Afternoon,Light
North Margaretview,West Mark,0,300.22,308.71,314.37,Rainy,Afternoon,Moderate
North Jessica,West Brent,0,163.76,198.53,212.53,Cloudy,Afternoon,Moderate
West Tonyaview,Jeffreyville,0,371.89,414.99,426.93,Foggy,Afternoon,Light
Kathyview,South Christy,1,145.29,188.08,197.45,Foggy,Morning,Light
Lake Angela,East Ericmouth,2,455.76,458.27,420.8,Clear,Afternoon,Heavy
South Amy,Garciafort,2,87.96,121.16,120.19,Rainy,Afternoon,Heavy
Garciaton,Lake Natashamouth,1,68.73,101.82,97.1,Rainy,Night,Moderate
Jeffreyborough,Estradaport,2,242.25,330.54,342.97,Cloudy,Morning,Moderate
East Debraton,New Jefferyview,1,129.53,174.49,178.67,Cloudy,Evening,Heavy
Gabriellabury,North Matthewmouth,3,302.33,304.97,330.35,Clear,Morning,Light
Lake Nancy,Sheltonland,0,251.63,285.72,289.3,Cloudy,Night,Heavy
Josephmouth,Jenniferport,1,474.14,522.35,485.39,Cloudy,Afternoon,Moderate
Jasonborough,Melvinmouth,2,184.58,214.68,221.12,Clear,Afternoon,Heavy
Allenport,East Brianland,0,393.25,459.6,430.15,Rainy,Evening,Light
Port Suzanneside,West Justinton,3,140.48,159.35,160.46,Rainy,Afternoon,Moderate
New Sandrachester,Port Jessica,3,131.99,185.63,201.07,Foggy,Morning,Light
Amberfurt,Katherineburgh,1,484.58,486.99,479.73,Cloudy,Afternoon,Heavy
Reginaldport,East Nataliemouth,2,437.71,588.45,635.73,Cloudy,Evening,Heavy
Latoyatown,Peterview,0,350.89,400.74,395.21,Clear,Night,Light
Cookfort,Francisview,2,432.92,617.63,636.28,Rainy,Morning,Moderate
North Douglas,Porterton,3,99.63,105.5,101.84,Foggy,Morning,Moderate
Port Dylanside,East Jennifer,2,266.25,390.45,424.44,Cloudy,Night,Light
Aliciafort,North Evan,2,198.76,284.19,263.31,Foggy,Afternoon,Moderate
West Todd,Danielborough,2,303.81,362.88,346.71,Clear,Morning,Light
New Christina,Williammouth,1,290.54,404.57,439.85,Cloudy,Evening,Light
South Lisaport,Port Nancyshire,2,15.51,21.86,22.9,Cloudy,Evening,Light
Christopherstad,Matthewside,2,323.26,454.08,477.53,Foggy,Night,Heavy
New Melissa,Matthewmouth,2,128.33,132.25,120.04,Clear,Evening,Heavy
Yorkview,West Christian,2,114.77,158.68,168.28,Clear,Evening,Light
North Johnbury,West Connieside,2,270.08,278.13,255.5,Rainy,Evening,Heavy
Daniellefurt,South Ashley,0,244.05,250.68,250.51,Foggy,Morning,Moderate
Richardburgh,North Tami,1,15.85,22.8,23.29,Foggy,Evening,Light
East Sharon,East Jakeshire,2,88.02,117.93,113.92,Clear,Evening,Heavy
Lake Sarahfort,North Randy,2,411.73,518.72,549.91,Clear,Morning,Heavy
Lake Michelleside,Alvinview,2,241.61,350.45,325.67,Rainy,Evening,Moderate
Paulshire,Elaineburgh,2,193.65,262.07,255.01,Clear,Afternoon,Moderate
Isaacville,Simsbury,0,277.55,410.61,407.54,Foggy,Evening,Moderate
Whiteside,Crystalburgh,1,60.64,71.96,78.77,Rainy,Morning,Light
Port Alexanderhaven,Connieview,0,27.23,33.01,29.83,Foggy,Night,Heavy
New Angelaton,East Jamesstad,0,181.56,233.31,239.93,Foggy,Night,Light
Lake Drewshire,Lake Steven,3,472.14,660.0,663.54,Cloudy,Afternoon,Heavy
Timothymouth,South Karen,1,352.02,473.9,448.41,Cloudy,Afternoon,Light
New Lauraside,Webertown,0,426.94,621.62,618.0,Clear,Morning,Heavy
Dannyshire,East Christopher,2,30.5,31.43,31.03,Cloudy,Evening,Heavy
Delgadoville,Davidhaven,1,383.2,573.25,540.82,Foggy,Night,Moderate
Lawrenceview,North Melissa,3,215.79,247.01,258.38,Foggy,Morning,Heavy
West Robertchester,New Randall,2,307.91,406.21,389.28,Foggy,Morning,Light
South Jamesfort,Brittneybury,1,101.0,122.18,120.25,Foggy,Afternoon,Light
Barbaramouth,Mooretown,0,390.77,571.27,595.18,Cloudy,Afternoon,Light
Bartletttown,Riverston,2,243.95,364.63,395.27,Cloudy,Morning,Light
East Michaelfort,Johnfort,3,276.91,344.71,342.05,Cloudy,Morning,Light
East Samanthaton,Johnsonhaven,2,364.36,534.03,502.09,Rainy,Afternoon,Heavy
East Alexandrastad,Lake Jenniferland,3,131.1,164.25,180.51,Clear,Afternoon,Light
Davidview,Avilahaven,2,32.09,36.32,34.54,Foggy,Afternoon,Light
Lake Jennifer,Meghanport,3,120.08,138.07,131.48,Cloudy,Evening,Heavy
East Destinyborough,New April,1,200.96,250.81,272.84,Foggy,Morning,Light
New Christine,Matthewport,2,12.79,17.7,19.38,Clear,Night,Moderate
Russellfurt,Sanchezburgh,2,405.95,439.12,413.48,Clear,Night,Moderate
West Pamela,East Matthewport,3,53.97,76.5,69.31,Foggy,Morning,Light
Port Matthewshire,New Zachary,0,179.88,201.37,192.73,Foggy,Afternoon,Light
South Jennifer,Evansberg,2,210.21,279.05,267.49,Foggy,Afternoon,Moderate
Robertfort,West Mary,3,195.77,219.84,202.77,Foggy,Morning,Light
Matthewsfort,Timothyfort,3,484.72,721.2,699.65,Cloudy,Afternoon,Heavy
Anthonytown,West Jon,3,138.7,184.48,179.57,Clear,Afternoon,Light
Deborahberg,Davidborough,1,487.14,587.43,558.11,Rainy,Morning,Heavy
Schultzport,South Kimberlymouth,2,422.36,512.3,508.47,Rainy,Morning,Moderate
West Tylerport,Jessetown,2,177.2,216.01,218.27,Rainy,Morning,Light
Port Robertside,South Nicole,2,333.99,465.15,476.19,Foggy,Evening,Light
Hartbury,Howellborough,3,270.35,399.67,396.98,Cloudy,Night,Moderate
Millermouth,North Rebecca,0,489.21,707.8,776.61,Cloudy,Morning,Light
West Shannon,Jonesborough,3,256.48,287.43,279.0,Clear,Morning,Heavy
West Jacobton,North Jessica,1,386.07,527.44,507.9,Cloudy,Afternoon,Heavy
Phillipsmouth,Wardmouth,3,281.82,418.0,421.87,Clear,Morning,Light
Melissachester,Port Kayla,2,339.98,352.9,366.18,Clear,Evening,Light
Jonesmouth,Mooreburgh,0,473.78,645.02,631.13,Clear,Afternoon,Light
New Tracyfort,Pattersonmouth,3,119.78,163.66,167.58,Clear,Afternoon,Light
North Johnchester,Gilbertbury,3,259.22,299.46,328.64,Cloudy,Evening,Heavy
West Michaelport,East Jamesside,2,347.42,388.88,395.57,Clear,Night,Heavy
Port Josephshire,West Chelsea,3,394.53,559.87,588.97,Cloudy,Afternoon,Moderate
Mooretown,North Anitaberg,1,168.54,210.19,201.59,Clear,Afternoon,Light
New Margaret,West Walter,2,377.92,554.11,538.32,Rainy,Morning,Light
Mayochester,New Evantown,1,232.73,240.56,261.66,Cloudy,Evening,Light
Port Bryan,Lake Charles,0,140.57,161.21,174.91,Rainy,Morning,Light
Fryfort,New Brittany,1,372.91,520.24,547.3,Clear,Night,Moderate
Carrollmouth,South Raymondmouth,0,27.62,32.56,34.56,Clear,Night,Heavy
East Camerontown,Jamieland,3,348.73,481.16,479.0,Clear,Afternoon,Heavy
Jensenchester,Mullinsland,3,73.96,92.08,99.96,Clear,Afternoon,Moderate
Port Michael,Deniseburgh,3,18.11,19.81,18.13,Foggy,Afternoon,Light
East Stevenport,New Rebecca,3,48.79,70.05,63.65,Rainy,Afternoon,Heavy
Lake Michael,Bakermouth,0,492.5,556.52,521.59,Foggy,Night,Moderate
Davidsonberg,West Tammy,3,438.83,646.08,651.87,Rainy,Evening,Light
West Laurenburgh,Lake Edgartown,3,477.02,525.63,500.67,Clear,Afternoon,Heavy
Rodriguezmouth,North Johnside,0,467.68,610.81,580.41,Rainy,Afternoon,Moderate
West Carolynborough,Freyfurt,0,448.92,581.98,594.11,Clear,Night,Light
Davisstad,Garciaburgh,2,359.56,475.89,456.71,Cloudy,Morning,Moderate
New Normanbury,West Kendra,2,124.45,144.52,148.65,Foggy,Morning,Moderate
Rodriguezhaven,Lake Traciebury,2,253.67,284.39,304.44,Rainy,Morning,Heavy
North Cody,Lake Davidbury,3,299.54,415.35,379.88,Clear,Night,Light
East Lawrencefurt,Whiteview,3,119.68,127.6,124.67,Clear,Morning,Moderate
Floydshire,Brandonmouth,1,225.34,307.98,333.31,Cloudy,Morning,Moderate
North Mark,Sandraburgh,3,63.81,69.88,65.41,Foggy,Morning,Heavy
Reedside,Lake Feliciaview,0,196.63,203.36,202.52,Foggy,Morning,Moderate
East Danielborough,Amberbury,0,134.67,156.54,147.88,Cloudy,Morning,Heavy
Alvaradofurt,East Kellyview,0,405.53,593.55,564.54,Clear,Evening,Moderate
South Andrew,Timothymouth,1,380.97,570.84,570.96,Rainy,Night,Moderate
Port Rachelhaven,East Jameshaven,1,443.3,594.91,634.9,Clear,Afternoon,Heavy
New Crystal,Toddport,2,368.48,375.95,409.28,Clear,Evening,Light
North Michaelburgh,Mckayfort,3,257.07,352.42,345.54,Rainy,Night,Heavy
Port Brettshire,Berrymouth,0,84.16,125.2,129.55,Clear,Night,Moderate
Samueltown,South Annmouth,3,376.03,453.15,473.89,Clear,Morning,Heavy
Rowemouth,Wongchester,1,499.3,666.14,624.56,Cloudy,Morning,Moderate
West Johnton,New Anthony,3,110.5,117.15,116.63,Rainy,Afternoon,Moderate
Hullville,Brianhaven,0,429.76,636.3,593.03,Rainy,Evening,Light
West Craig,Mistyview,0,111.78,148.51,139.48,Foggy,Morning,Moderate
West Matthewshire,Nathanmouth,1,317.17,415.48,428.18,Cloudy,Evening,Moderate
New Williamtown,New Marcus,3,463.2,580.47,598.07,Cloudy,Evening,Light
West Brentstad,Lake Andreahaven,1,114.21,132.62,124.26,Foggy,Afternoon,Light
Lake Markport,North Valerie,0,457.15,533.1,516.21,Foggy,Morning,Light
New Anthony,Samanthaborough,2,310.28,360.1,367.0,Foggy,Afternoon,Light
Bryantchester,Lake Saraview,1,144.43,162.88,157.21,Clear,Morning,Light
Deborahfort,West Rebecca,2,100.05,117.06,109.99,Foggy,Evening,Heavy
Amyshire,Martinezburgh,0,331.32,483.6,465.55,Rainy,Afternoon,Heavy
Buckleystad,East Alexander,1,406.07,447.83,435.26,Cloudy,Evening,Heavy
West Gabrielamouth,Fullerview,0,348.26,393.44,400.69,Foggy,Night,Light
South Maria,Port Stephanieland,2,322.69,395.84,429.99,Foggy,Afternoon,Moderate
West Courtney,Port Amandastad,2,197.88,268.29,272.68,Clear,Afternoon,Light
Wendyland,Lake Kimberlyport,3,316.0,361.98,369.46,Clear,Evening,Heavy
Olivialand,Tinatown,1,328.43,366.24,359.72,Clear,Evening,Moderate
North Don,South Theresaview,3,220.33,223.69,216.0,Cloudy,Night,Heavy
South Taylormouth,Port Michaelborough,1,193.61,219.23,224.42,Cloudy,Night,Heavy
North Cindyborough,Hillborough,1,164.8,224.16,203.96,Foggy,Night,Moderate
Petersonhaven,Bryanport,0,102.98,148.52,150.33,Rainy,Morning,Light
Scottstad,Danielberg,2,144.08,163.87,153.79,Rainy,Night,Heavy
South Yvonneton,North Tinaburgh,0,196.31,207.18,212.36,Foggy,Afternoon,Light
Lake Wendyton,North Benjamin,1,53.98,69.7,72.27,Clear,Night,Moderate
Tiffanyfurt,North Davidberg,0,42.7,59.77,56.09,Clear,Morning,Light
Davismouth,Port Ashleymouth,3,329.94,407.81,414.53,Clear,Night,Heavy
Johnmouth,Joshuachester,1,154.7,201.15,195.55,Clear,Afternoon,Moderate
Janetmouth,Garrisonland,3,468.81,595.31,647.01,Rainy,Night,Heavy
Hoffmanview,Stuartland,0,404.71,604.86,630.44,Cloudy,Night,Heavy
East Sara,Marcusfurt,3,300.37,403.48,440.19,Cloudy,Evening,Moderate
New Amberville,South Scott,2,85.35,111.7,116.74,Rainy,Evening,Moderate
Port Danielville,Bryantshire,0,90.46,92.89,93.48,Cloudy,Evening,Light
Henryland,Cynthiaburgh,0,413.81,503.36,513.16,Clear,Night,Heavy
South Jennifer,Lake Megan,1,287.49,406.1,437.1,Foggy,Night,Light
Torresfort,Craigburgh,3,337.56,484.33,524.29,Clear,Night,Moderate
New Jacobmouth,North Lucasview,3,292.18,389.29,360.02,Cloudy,Night,Heavy
Jonesfurt,Davidtown,0,106.02,156.77,157.74,Rainy,Morning,Moderate
West Corey,East Angela,1,454.37,626.3,619.11,Foggy,Evening,Heavy
Roberttown,Nguyenberg,2,183.7,220.4,202.5,Clear,Night,Moderate
Bradyport,New Sarahstad,1,31.63,40.83,43.49,Clear,Evening,Heavy
New Madison,Port Tiffany,0,403.77,545.07,512.38,Rainy,Afternoon,Heavy
Cooperhaven,Lake Shaun,1,12.91,13.18,13.43,Foggy,Evening,Heavy
New Crystalview,Holdermouth,2,239.18,312.96,303.78,Foggy,Morning,Heavy
Kathyview,Bryanburgh,1,169.66,207.59,189.34,Cloudy,Night,Heavy
New Charlesmouth,West Annfurt,3,68.97,97.59,95.4,Rainy,Afternoon,Heavy
Youngview,Jamesbury,3,429.41,465.29,485.77,Clear,Afternoon,Heavy
Castillostad,New Austinhaven,3,269.61,386.6,401.79,Cloudy,Morning,Light
Justintown,Laurenborough,1,457.83,480.45,500.0,Foggy,Morning,Heavy
East Amandaside,Joshuaside,0,140.19,194.3,205.56,Foggy,Afternoon,Moderate
South Dianefort,Lake Laurie,3,171.08,235.62,232.79,Rainy,Night,Light
Berryfort,Ericburgh,0,206.77,224.71,230.7,Clear,Night,Light
North Scott,Laurenberg,3,398.8,563.39,594.21,Clear,Morning,Light
West Patrickborough,Jamesside,2,479.08,512.97,547.36,Rainy,Night,Moderate
New Juliefort,New Philliphaven,2,275.68,386.48,372.79,Rainy,Night,Heavy
East Michaelfurt,East Patricia,1,130.55,180.06,196.96,Clear,Night,Light
North Kevin,Port Andrew,1,171.39,236.83,260.21,Rainy,Night,Moderate
Patrickmouth,Bellborough,2,454.41,653.84,674.73,Foggy,Evening,Moderate
Josephview,Meghanmouth,1,198.36,220.82,233.15,Rainy,Afternoon,Moderate
West Ronnieberg,Moranshire,2,110.54,121.12,112.21,Rainy,Afternoon,Moderate
Lake Richardborough,Randyburgh,0,223.92,310.8,296.15,Rainy,Morning,Light
East Monica,North Jameschester,1,412.98,430.64,419.46,Cloudy,Morning,Light
East Jessicaview,South Allison,3,403.13,417.96,425.64,Foggy,Morning,Heavy
Cruzchester,Port Jose,1,416.12,485.38,531.99,Rainy,Evening,Heavy
West Sarah,West Joseph,1,449.51,666.19,617.96,Foggy,Morning,Moderate
Port Teresa,West Sherry,3,262.88,323.74,320.65,Clear,Evening,Light
Mooreburgh,South Shawn,2,31.19,32.22,33.73,Clear,Night,Moderate
West Erin,Elizabethmouth,1,14.88,19.11,18.74,Rainy,Night,Light
East Jamesville,Lake Carrieview,1,411.05,612.3,651.65,Foggy,Morning,Moderate
New Chloemouth,Lake Heatherstad,1,259.96,387.46,350.55,Cloudy,Evening,Moderate
Heatherbury,Pattersonchester,2,221.89,264.23,284.85,Rainy,Morning,Heavy
Carrburgh,East Kathrynstad,0,229.28,256.77,269.59,Foggy,Morning,Light
Brandonshire,Jeromefurt,3,248.28,272.28,277.0,Clear,Night,Moderate
Josephmouth,East Heatherside,1,114.14,170.39,166.15,Foggy,Evening,Moderate
Caitlinfurt,New Donaldbury,3,444.29,617.3,565.22,Foggy,Evening,Moderate
South Alexandriaborough,North Dillonside,3,45.6,67.8,63.14,Rainy,Evening,Light
Smithborough,East Benjamin,2,406.85,498.99,489.54,Clear,Evening,Heavy
Lewisfurt,West Elizabethland,2,27.43,40.55,41.41,Rainy,Morning,Light
Vanessaberg,West Reneeberg,2,265.14,370.48,340.23,Cloudy,Afternoon,Light
Jackborough,Peterchester,1,338.74,471.76,514.02,Clear,Morning,Heavy
Reidville,North Dannyhaven,0,259.09,275.1,251.6,Cloudy,Morning,Light
North Aprilbury,South Donald,3,100.49,142.47,140.45,Clear,Morning,Moderate
Kaylaland,East Kristina,1,368.4,456.54,461.23,Cloudy,Night,Moderate
Port Elizabethchester,Cameronview,3,152.38,161.86,165.7,Rainy,Evening,Moderate
Abigailmouth,Susanville,0,456.19,678.95,639.79,Foggy,Afternoon,Moderate
Cameronshire,Davismouth,0,33.18,43.72,43.67,Cloudy,Morning,Moderate
New Heidiport,Monicaside,1,218.94,300.14,298.4,Cloudy,Night,Heavy
Bradleyfurt,Roachport,0,182.31,254.74,271.85,Rainy,Evening,Heavy
Kelseyton,Andersonborough,0,433.21,614.58,653.37,Foggy,Afternoon,Light
Cherylshire,New Kaylafort,3,163.9,241.19,259.24,Foggy,Morning,Moderate
West Heather,East Stephaniemouth,1,394.35,568.27,563.14,Clear,Night,Light
North Christinaville,West Kennethshire,2,166.3,229.14,244.67,Foggy,Morning,Heavy
East Stevenfort,New Michael,2,200.05,240.5,217.98,Foggy,Morning,Heavy
Shelleymouth,South Arielview,2,410.85,511.59,486.34,Clear,Afternoon,Heavy
Buckstad,Isabelmouth,3,175.16,216.77,201.09,Rainy,Afternoon,Light
Port Russell,New Vanessa,1,243.4,301.22,280.74,Cloudy,Morning,Heavy
South Beverly,Jenniferland,0,302.53,330.88,309.03,Cloudy,Morning,Moderate
West Martintown,Crystalview,0,273.02,314.96,344.83,Foggy,Afternoon,Heavy
Henryfurt,Pagebury,0,342.98,417.31,429.94,Rainy,Afternoon,Light
Dianashire,Annabury,0,471.26,523.18,475.37,Cloudy,Afternoon,Light
South Raymondfurt,Port Sharonstad,0,274.32,276.23,271.87,Foggy,Morning,Light
Michaelland,Flynnfort,2,226.19,265.38,269.18,Cloudy,Afternoon,Moderate
South Robin,Debbieland,3,464.96,587.41,584.12,Rainy,Afternoon,Moderate
Port Ryanside,East Erica,1,218.05,292.78,299.05,Cloudy,Afternoon,Heavy
New Omarview,Lake Karen,3,136.32,165.26,166.8,Rainy,Morning,Moderate
Garciafort,Williamsburgh,3,298.62,410.85,385.09,Rainy,Morning,Heavy
North Jeffrey,West Michael,3,489.18,595.67,629.79,Clear,Afternoon,Moderate
Thomastown,West Steven,2,247.36,274.13,270.42,Rainy,Night,Heavy
Douglasburgh,Goodmanville,0,279.88,343.52,344.09,Cloudy,Morning,Moderate
North Michelle,Johnsonland,3,353.1,510.17,524.68,Cloudy,Morning,Moderate
Smithchester,Whiteside,0,331.56,375.11,365.12,Cloudy,Evening,Light
Lake Amandashire,Myersstad,2,273.38,392.51,363.45,Clear,Morning,Heavy
Lindaland,Thomasville,1,347.03,361.46,341.4,Rainy,Night,Light
Anthonyshire,Barrburgh,2,46.72,62.86,62.05,Cloudy,Evening,Heavy
Lake Katherinechester,New Andreaton,2,431.69,616.0,626.17,Cloudy,Evening,Heavy
East Josephmouth,North Cathyview,3,496.59,567.63,619.41,Clear,Night,Moderate
Lake Kellyburgh,West Emilyborough,1,372.41,538.82,569.48,Foggy,Evening,Heavy
New Tanner,Colleenview,3,126.61,174.41,183.59,Foggy,Night,Heavy
Gloriamouth,West Victor,2,432.29,457.79,422.88,Rainy,Evening,Heavy
South Brittany,Churchstad,2,235.57,271.82,277.05,Foggy,Night,Moderate
Johnside,West Christopher,3,45.95,56.3,55.19,Clear,Afternoon,Light
New Thomas,Port Derek,1,145.97,171.41,154.56,Clear,Night,Moderate
East Dianafurt,West Juliehaven,1,322.83,411.24,387.8,Rainy,Morning,Heavy
Port Catherinefurt,South Vanessa,3,91.08,115.49,111.67,Foggy,Night,Moderate
Walshchester,Ritterport,2,268.8,306.32,324.15,Clear,Night,Light
Onealside,Wrightberg,2,142.7,199.78,201.41,Foggy,Morning,Light
Port Bethborough,Jefferyville,2,13.44,14.27,15.66,Clear,Night,Heavy
Isaacshire,Sanfordfort,2,236.61,277.7,296.93,Cloudy,Afternoon,Moderate
Mccormickshire,Lake Williamfurt,1,279.73,335.76,323.78,Foggy,Morning,Heavy
Michaelberg,Zacharyfort,1,50.89,73.21,74.86,Rainy,Afternoon,Light
Lake Dannyside,North Elizabeth,2,238.17,250.07,244.81,Clear,Morning,Moderate
Tonibury,Roberttown,2,117.12,132.76,142.9,Clear,Evening,Heavy
South Timothyburgh,Willisville,3,281.62,318.24,347.6,Clear,Evening,Heavy
Lake Denise,South Jaclyn,1,371.16,414.69,446.13,Rainy,Evening,Heavy
Port Lindsay,Lake Darrenbury,1,246.37,327.59,354.21,Cloudy,Evening,Light
Lake Damonchester,Dennischester,3,64.34,83.1,88.14,Foggy,Morning,Moderate
East Kenneth,South Jorgemouth,2,303.76,325.32,306.85,Clear,Morning,Moderate
New Megan,West Nicholas,3,252.79,342.81,326.64,Foggy,Night,Heavy
Lake Bethanyview,Gregville,1,185.3,262.36,277.64,Cloudy,Night,Heavy
Lake Robert,Sarashire,0,54.17,78.72,83.71,Foggy,Afternoon,Moderate
North Alexis,East Jessicaburgh,1,187.02,212.41,209.97,Clear,Morning,Light
Daltonfurt,Cruzport,3,22.47,31.47,29.86,Clear,Evening,Heavy
Riveraport,New Christinatown,1,173.16,194.87,192.82,Rainy,Morning,Light
Boltonhaven,West Amanda,2,441.89,492.79,450.52,Cloudy,Afternoon,Light
Mcdanielchester,Lake Charlesshire,2,110.18,156.71,172.36,Foggy,Night,Moderate
East Debbiehaven,Port Michaelside,3,45.93,56.18,61.28,Cloudy,Afternoon,Heavy
Davidmouth,Lake Alex,0,223.02,260.25,267.53,Cloudy,Afternoon,Light
Gillespieland,Lake Roseberg,2,346.41,491.31,463.13,Foggy,Morning,Heavy
Markhaven,Kelseystad,3,104.56,151.59,142.5,Cloudy,Afternoon,Light
West Veronica,Sarahbury,1,321.43,384.15,351.26,Rainy,Morning,Moderate
New Lisa,Shawbury,2,266.61,293.89,291.99,Foggy,Afternoon,Light
Port Tanyafort,Cartermouth,3,47.51,52.93,48.05,Rainy,Afternoon,Moderate
Lake Jason,Jeffreyville,2,342.52,389.61,410.21,Rainy,Night,Moderate
West Jenna,Port Paulchester,2,93.77,100.93,104.32,Foggy,Morning,Heavy
Port Michaelstad,New Chad,2,118.58,125.55,115.4,Clear,Afternoon,Moderate
South Sydney,West Brittanymouth,1,246.03,251.77,246.95,Clear,Afternoon,Moderate
South Tara,South Nicole,3,340.3,437.44,436.4,Cloudy,Evening,Heavy
New Kenneth,East Adam,0,39.68,47.07,50.05,Rainy,Evening,Heavy
Port Corey,Gibbstown,0,278.33,345.13,333.09,Clear,Afternoon,Light
West Christine,Wademouth,3,160.31,185.93,173.26,Cloudy,Morning,Moderate
South Juanshire,Shannonstad,1,235.85,241.47,222.73,Cloudy,Afternoon,Light
South Hollyland,South Rebeccaport,0,43.6,45.36,44.92,Cloudy,Afternoon,Moderate
Kendraland,West Jessica,0,345.5,435.14,415.85,Foggy,Afternoon,Heavy
Stephensside,Port Robertstad,3,285.13,340.27,353.41,Rainy,Night,Moderate
Garychester,South Sharonstad,2,441.91,587.28,619.04,Rainy,Morning,Light
Douglastown,Matthewfurt,0,470.5,649.34,637.75,Clear,Morning,Moderate
Woodmouth,North Michael,0,19.83,21.65,23.66,Clear,Night,Heavy
Mistyside,Smithbury,3,422.31,566.89,550.79,Rainy,Afternoon,Moderate
Kinghaven,Patriciahaven,1,428.65,532.01,480.13,Clear,Morning,Light
Port Harry,Francesshire,0,220.55,262.21,284.47,Cloudy,Night,Light
Kanefurt,North Michaelview,1,15.21,18.18,19.86,Rainy,Evening,Heavy
Frankshire,East Jesusbury,3,271.83,299.71,320.18,Foggy,Afternoon,Moderate
Carrollmouth,Jonestown,1,364.88,420.2,444.08,Rainy,Afternoon,Heavy
East Amanda,South Mark,0,45.24,46.6,45.07,Foggy,Afternoon,Moderate
Heatherburgh,New Justinborough,2,488.99,720.77,764.82,Cloudy,Evening,Light
North Meaganhaven,Christopherville,2,369.09,533.6,547.73,Foggy,Night,Heavy
New Danielborough,Port Andrew,0,92.5,132.1,131.37,Foggy,Afternoon,Heavy
Ashleychester,Higginsshire,3,279.0,388.56,393.96,Rainy,Morning,Light
Charlesland,Port Maria,0,45.34,59.73,56.9,Cloudy,Evening,Heavy
Samanthaport,East Bobby,3,88.92,96.31,91.65,Cloudy,Evening,Moderate
East Donborough,Chadview,0,434.47,508.83,479.92,Foggy,Afternoon,Light
New Jacob,Charlesside,2,125.09,179.77,177.12,Foggy,Afternoon,Moderate
West Faithbury,Sydneyshire,3,119.91,174.47,173.94,Clear,Evening,Light
South Joeview,South Kelli,2,408.77,543.23,567.43,Clear,Night,Heavy
South Michael,Valentineville,0,301.39,433.56,451.42,Foggy,Night,Moderate
West Christophershire,Port Arielfort,0,418.38,448.94,470.33,Foggy,Night,Heavy
Morganmouth,Sethton,1,366.97,371.36,368.88,Foggy,Evening,Light
Leeport,Susanberg,2,261.9,338.51,326.88,Rainy,Afternoon,Moderate
East Ashley,Port Nathanielmouth,0,432.04,467.75,429.01,Foggy,Night,Moderate
West Williamborough,Lake Amber,1,124.13,158.4,153.77,Foggy,Afternoon,Heavy
South Michellestad,Morrisport,3,394.65,586.04,633.83,Cloudy,Evening,Light
Richardstown,Eriktown,0,17.54,23.34,22.86,Clear,Evening,Light
